Source: ACS 1-Year Estimates Public Use Microdata Sample 2019
Weight used: WGTP
"Universe: selected geographies: Los Angeles County (North/U..., Los Angeles County (Northwe..., Los Angeles County (North C..., Los Angeles County (North C..., Los Angeles County (North)-..., Los Angeles County (North)-..., Los Angeles County--LA (Nor..., Los Angeles County (North)-..., Los Angeles County (Central..., Los Angeles County--Baldwin..., Los Angeles County (East Ce..., Los Angeles County (East Ce..., Los Angeles County (East Ce..., Los Angeles County--Diamond..., Los Angeles County (East Ce..., Los Angeles County (East Ce..., Los Angeles County (East Ce..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (North)-..., Los Angeles County (Northwe..., Los Angeles County (North)-..., Los Angeles County (Northwe..., Los Angeles County--LA City..., Los Angeles County--Calabas..., Los Angeles County (Central..., Los Angeles County (Southwe..., Los Angeles County (West Ce..., Los Angeles County (West Ce..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County--LA City..., Los Angeles County--LA City..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Southea..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County--LA City..., Los Angeles County (Central..., Los Angeles County--LA (Sou..., Los Angeles County (Central..., Los Angeles County (South C..., Los Angeles County (South C..., Los Angeles County (South)-..., Los Angeles County (South)-..., Los Angeles County (Southea..., Los Angeles County (Southea..., Los Angeles County (Southea..., Los Angeles County (South C..., Los Angeles County (South C..., Los Angeles County (South C..., Los Angeles County--Redondo..., Los Angeles County (South C..., Los Angeles County (South C..., Los Angeles County (South C..., Los Angeles County (South)-..., Los Angeles County (Southea..., Los Angeles County (South)-..., Los Angeles County (South)-..., Los Angeles County (Southwe..., Los Angeles County (Southea..."
"","Age recode (AGEP_RC1)","","","","","","","","",""
"Selected Geographies","0-9 Years Old","10-19 Years Old","20-29 Years Old","30-39 Years Old","40-49 Years Old","50-59 Years Old","60-69 Years Old","70-79 Years Old","80-89 Years Old","90-99 Years Old"
"Los Angeles County (North/Unincorporated)--Castaic PUMA, California","561","311","291","248","532","156","149","189","377","0"
"Los Angeles County (Northwest)--Santa Clarita City PUMA, California","594","672","829","731","511","449","284","188","346","393"
"Los Angeles County (North Central)--Lancaster City PUMA, California","695","620","713","574","496","388","286","234","312","0"
"Los Angeles County (North Central)--Palmdale City PUMA, California","600","383","657","469","392","365","319","119","504","613"
"Los Angeles County (North)--LA City (Northwest/Chatsworth & Porter Ranch) PUMA, California","653","787","1128","777","732","502","353","350","291","294"
"Los Angeles County (North)--LA City (North Central/Granada Hills & Sylmar) PUMA, California","695","813","750","569","785","496","474","211","64","744"
"Los Angeles County--LA (North Central/Arleta & Pacoima) & San Fernando Cities PUMA, California","503","721","565","582","588","290","308","169","164","453"
"Los Angeles County (North)--LA City (Northeast/Sunland, Sun Valley & Tujunga) PUMA; California","578","784","636","688","704","352","327","371","149","69"
"Los Angeles County (Central)--San Gabriel Valley Region (North) PUMA, California","542","1027","760","520","818","569","183","87","374","0"
"Los Angeles County--Baldwin Park, Azusa, Duarte & Irwindale Cities PUMA; California","688","760","697","661","552","541","246","265","357","367"
"Los Angeles County (East Central)--Glendora, Claremont, San Dimas & La Verne Cities PUMA; California","862","688","724","934","625","435","330","208","398","36"
"Los Angeles County (East Central)--Pomona City PUMA, California","704","725","813","598","707","473","404","363","427","448"
"Los Angeles County (East Central)--Covina & Walnut Cities PUMA, California","773","711","797","820","592","369","286","212","81","0"
"Los Angeles County--Diamond Bar, La Habra Heights (East) Cities & Rowland Heights PUMA; California","877","801","680","827","581","441","377","203","147","0"
"Los Angeles County (East Central)--West Covina City PUMA, California","775","760","708","668","656","483","450","159","185","387"
