Source: ACS 1-Year Estimates Public Use Microdata Sample 2015,,,,,,,,,,
Weight used: WGTP,,,,,,,,,,
"Universe: selected geographies: Los Angeles County (North/U..., Los Angeles County (Northwe..., Los Angeles County (North C..., Los Angeles County (North C..., Los Angeles County (North)-..., Los Angeles County (North)-..., Los Angeles County--LA (Nor..., Los Angeles County (North)-..., Los Angeles County (Central..., Los Angeles County--Baldwin..., Los Angeles County (East Ce..., Los Angeles County (East Ce..., Los Angeles County (East Ce..., Los Angeles County--Diamond..., Los Angeles County (East Ce..., Los Angeles County (East Ce..., Los Angeles County (East Ce..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (North)-..., Los Angeles County (Northwe..., Los Angeles County (North)-..., Los Angeles County (Northwe..., Los Angeles County--LA City..., Los Angeles County--Calabas..., Los Angeles County (Central..., Los Angeles County (Southwe..., Los Angeles County (West Ce..., Los Angeles County (West Ce..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County--LA City..., Los Angeles County--LA City..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Southea..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County--LA City..., Los Angeles County (Central..., Los Angeles County--LA (Sou..., Los Angeles County (Central..., Los Angeles County (South C..., Los Angeles County (South C..., Los Angeles County (South)-..., Los Angeles County (South)-..., Los Angeles County (Southea..., Los Angeles County (Southea..., Los Angeles County (Southea..., Los Angeles County (South C..., Los Angeles County (South C..., Los Angeles County (South C..., Los Angeles County--Redondo..., Los Angeles County (South C..., Los Angeles County (South C..., Los Angeles County (South C..., Los Angeles County (South)-..., Los Angeles County (Southea..., Los Angeles County (South)-..., Los Angeles County (South)-..., Los Angeles County (Southwe..., Los Angeles County (Southea...",,,,,,,,,,
,"Household income (past 12 months, use ADJINC to adjust HINCP to constant dollars) recode (HINCP_RC1)",,,,,,,,,
Selected Geographies,200000-Max,Negative Income,No Income,20001-40000,60001-80000,80001-120000,120001-160000,160001-200000,1-20000,400001-60000
"Los Angeles County (North/Unincorporated)--Castaic PUMA, California",0,175,496,446,281,241,233,337,285,269
"Los Angeles County (Northwest)--Santa Clarita City PUMA, California",184,793,904,658,721,542,367,263,627,717
"Los Angeles County (North Central)--Lancaster City PUMA, California",3,445,618,555,253,417,278,57,525,462
"Los Angeles County (North Central)--Palmdale City PUMA, California",166,88,243,468,154,239,275,68,489,294
"Los Angeles County (North)--LA City (Northwest/Chatsworth & Porter Ranch) PUMA, California",268,622,1346,751,638,474,248,186,658,787
"Los Angeles County (North)--LA City (North Central/Granada Hills & Sylmar) PUMA, California",117,655,1058,383,515,516,217,0,491,686
"Los Angeles County--LA (North Central/Arleta & Pacoima) & San Fernando Cities PUMA, California",384,518,1774,463,574,325,260,0,564,489
"Los Angeles County (North)--LA City (Northeast/Sunland, Sun Valley & Tujunga) PUMA; California",174,280,296,695,375,623,209,0,762,413
"Los Angeles County (Central)--San Gabriel Valley Region (North) PUMA, California",119,262,806,545,625,403,49,300,485,351
"Los Angeles County--Baldwin Park, Azusa, Duarte & Irwindale Cities PUMA; California",349,377,543,742,788,382,159,254,570,631
"Los Angeles County (East Central)--Glendora, Claremont, San Dimas & La Verne Cities PUMA; California",119,95,0,445,373,485,308,516,576,510
"Los Angeles County (East Central)--Pomona City PUMA, California",0,0,666,600,568,373,340,47,643,550
"Los Angeles County (East Central)--Covina & Walnut Cities PUMA, California",397,295,0,378,497,285,453,428,419,623
"Los Angeles County--Diamond Bar, La Habra Heights (East) Cities & Rowland Heights PUMA; California",43,762,1158,622,390,547,229,125,327,615
"Los Angeles County (East Central)--West Covina City PUMA, California",74,1062,0,643,489,407,316,69,466,472
"Los Angeles County (East Central)--La Puente & Industry Cities PUMA, California",0,0,76,405,397,255,124,0,540,342
"Los Angeles County (East Central)--Arcadia, San Gabriel & Temple City Cities PUMA; California",78,187,426,693,612,653,514,281,460,762
